,type_of_intervention,data_start,date_end,locality,state,country,citation,entered_by,further_notes_comments,Unnamed: 9
202,PC,1/24/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200124_304142.html,Tyler,Closure of schools and universities,
203,HS,1/24/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200124_304143.html,Tyler,Temperature checks at road entrances in / out of Wuhan,
204,SOE,1/24/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200124_304144.html,Tyler,State of Emergency,
205,PL,1/29/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200129_304246.html,Tyler,Labor protection for paid leave and wages for all suspected or confirmed cases,
206,GP,1/29/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200129_304246.html,Tyler,Labor protection for paid leave and wages for all suspected or confirmed cases,
207,NESC,1/29/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200130_304258.html,Tyler,"Non-essential businesses are not allowed to re-open after CNY break, until at least 2/13 (still in place now)",
208,SD,1/29/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200130_304258.html,Tyler,Social distancing of entire population,
209,CPV,1/30/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202001/t20200130_304277.html,Tyler,"Closing of restaurants, bars and other public venues",
210,LD,2/11/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202002/t20200212_304798.html,Tyler,"Lock down - closed management of city communities with monitoring of person movements. Non-essential movements are ""discouraged"", but not prohibited",
211,LD,2/14/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202002/t20200216_304952.html,Tyler,Escalation of quarantine orders - restrictions on personal movements are now enforced by authorities,
212,HS,2/16/2020,,wuhan,,China,http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202002/t20200216_304971.html,Tyler,Monitoring of temperature and health status of all residents in each community,
